genus,species,common name,body mass (kg),log10 body mass,BMR,units,converted to kCal,log10 bmr,diet,habitat,usable,order corrected,Source
Aconaemys,fuscus,chilean rock rat,0.112,-0.950782,121,ml O2/h,14.52,1.16196662,h,land,yes,rodentia,"White and Seymour, 2003; Luna et al., 2017; Naya dataset; Contreras 1983; Genoud 2017 dataset"

Acrobates,pygmaeus,feathertail glider,0.014,-1.853872,15.12,ml O2/h,1.81,0.25815819,o,land,yes,diprotodontia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; Fleming 1985; Genoud 2017 dataset"

Aepyprymnus,rufescens,rufous rat-kangaroo,2.82,0.45024911,1071.64677,ml O2/h,128.59,2.10921395,h,land,yes,diprotodontia,"White and Seymour, 2003; Khaliq et al., 2015; Naya dataset; Genoud 2017 dataset; Rübsamen et al. (1983)"

Aethomys,namaquensis,namaqua rock rat,0.06617143,-1.1793295,52.7121429,ml O2/h,6.33,0.80109192,o,land,yes,rodentia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; Lovegrove et al., 1991; Genoud 2017 dataset"

Ailurus,fulgens,red panda,5.74,0.75891189,878,ml O2/h,105.36,2.02267576,h,land,yes,carnivora,"White and Seymour, 2003; Khaliq et al., 2015; Naya dataset; McNab 1988; Genoud 2017 dataset"

Akodon,albiventer,white-bellied grass mouse,0.031,-1.5086383,46.5,ml O2/h,5.58,0.7466342,o,land,yes,rodentia,"White and Seymour, 2003"

Akodon,azarae,azara's grass mouse,0.022714,-1.6437064,39.0343,ml O2/h,4.68,0.67062764,o,land,yes,rodentia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; Antinuchi and Busch 2000; Genoud 2017 dataset"

Alces,alces,moose,325,2.51188336,51419,ml O2/h,6170.28,3.79030487,h,land,yes,artiodactyla,"White and Seymour, 2003"

Vulpes,lagopus,arctic fox,3.6,0.5563025,1374,ml O2/h,164.88,2.21716798,c,land,yes,carnivora,"White and Seymour, 2003"

Alouatta,palliata,mantled howler monkey,4.67,0.66931688,2055,ml O2/h,246.6,2.39199307,h,land,yes,primates,"White and Seymour, 2003"

Alticola,argentatus,silver mountain vole,0.0377,-1.4236586,121,ml O2/h,14.52,1.16196662,h,land,yes,rodentia,"White and Seymour, 2003"

Amblysomus,hottentotus,hottentot golden mole,0.06775,-1.1690907,79.1,ml O2/h,9.49,0.97726621,o,land,yes,afrosoricida,"White and Seymour, 2003; Scantlebury et al. (2005)"

Ammospermophilus,leucurus,white-tailed antelope squirrel,0.097286,-1.0119497,91.2914,ml O2/h,10.95,1.03961111,o,land,yes,rodentia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; Kenagy & Vleck 1982; Genoud 2017"

Anoura,caudifer,tailed tailless bat,0.0115,-1.9393022,35.5291045,ml O2/h,4.26,0.62976551,o,land,yes,chiroptera,"White and Seymour, 2003; Khaliq et al., 2015; Naya dataset; McNab 1988; Genoud 2017 dataset"

Anoura,latidens,broad-toothed tailless bat,0.0136,-1.8664611,36.8159204,ml O2/h,4.417910448,0.64521691,o,land,yes,chiroptera,"Khaliq et al. (2015); Soriano et al., 2002; Genoud 2017 dataset"

Antechinomys,laniger,kultarr,0.0254,-1.5951662,24.8875,ml O2/h,2.985,0.49540556,c,land,yes,dasyuromorphia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset;  MacMillen and Nelson 1969; Genoud 2017 dataset"

Antechinus,flavipes,yellow-footed antechinus,0.0465,-1.332547,45.1,ml O2/h,5.41,0.73335779,c,land,yes,dasyuromorphia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset"

Antechinus,stuartii,brown antechinus,0.035314,-1.4520531,36.2,ml O2/h,4.34,0.63788982,c,land,yes,dasyuromorphia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; Dawson and Hulbert 1970; Genoud 2017 dataset"

Antechinus,swainsonii,dusky antechinus,0.0669,-1.1745739,63,ml O2/h,7.56,0.8785218,c,land,yes,dasyuromorphia,"White and Seymour, 2003; Chappell and Dawson 1994; Genoud 2017 dataset"

Antilocapra,americana,pronghorn,37.8,1.5774918,10332.4,ml O2/h,1239.89,3.09338246,h,land,yes,artiodactyla,"White and Seymour, 2003; Wesley et al., 1973; Genoud 2017 dataset"

Antrozous,pallidus,pallid bat,0.022,-1.6575773,18.7,ml O2/h,2.24,0.35102285,o,land,yes,chiroptera,"White and Seymour, 2003"

Aotus,nancymaae,owl/night monkey,0.82,-0.0861861,48,kg cal/24 hrs,48,1.68124124,o,land,yes,primates,"Scholander et al., 1950"

Aotus,trivirgatus,three-striped night monkey,1.0025,0.00108438,484.588,ml O2/h,58.15,1.7645539,o,land,yes,primates,"White and Seymour, 2003; Khaliq et al., 2015; Naya dataset; Le Maho et al., 1981; Genoud 2017"

Aplodontia,rufa,mountain beaver,0.7115,-0.1478251,345.97,ml O2/h,41.52,1.61821969,h,land,yes,rodentia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset"

Apodemus,flavicollis,yellow-necked mouse,0.031692,-1.4990504,63.7208,ml O2/h,7.65,0.88346247,o,land,yes,rodentia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; Aeschimann et al., 1998; Genoud 2017 dataset"

Apodemus,witherbyi,mount hermon field mouse/Steepe field mouse,0.02005,-1.6897885,48.9,ml O2/h,5.868,0.7694901,c,land,yes,rodentia,"White and Seymour, 2003;Haim et al. (1993)"

Apodemus,mystacinus,eastern broad-toothed field mouse,0.033663,-1.4728472,54.755,ml O2/h,6.57,0.81760503,o,land,yes,rodentia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; Haim et al., 1993; Genoud 2017"

Apodemus,sylvaticus,wood mouse,0.0251,-1.6003263,42.796,ml O2/h,5.14,0.71058442,o,land,yes,rodentia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; Haim et al., 1993; Genoud 2017"

Apodemus,alpicola,alpine field mouse,0.0311,-1.5072396,55.4,ml O2/h,6.648,0.82269101,o,land,yes,rodentia,Aeschimann et al. (1998)

Apodemus,argenteus,small japanese field mouse,0.0157,-1.8041003,49.3,ml O2/h,5.916,0.77202817,o,land,yes,rodentia,Sekijima (1995)

Apodemus,chevrieri,chevrier's field mouse,0.03256,-1.4873156,87.91,ml O2/h,10.5492,1.02321953,o,land,yes,rodentia,Zhu et al. (2008)

Arborimus,longicaudus,red tree vole,0.0218,-1.6615435,58.9,ml O2/h,7.07,0.84929654,o,land,yes,rodentia,"White and Seymour, 2003"

Arborimus,pomo,california red tree mouse,0.0218,-1.6615435,58.9,ml O2/h,7.068,0.84929654,o,land,yes,rodentia,McNab (1992c)

Arctictis,binturong,binturong,14.28,1.15472821,1320.71,ml O2/h,158.49,2.19998871,o,land,yes,carnivora,"White and Seymour, 2003; Khaliq et al., 2015; Naya dataset; McNab 1995; Genoud 2017 dataset"

Arctocebus,calabarensis,calabar angwantibo,0.206,-0.6861328,131,ml O2/h,15.72,1.19645254,o,land,yes,primates,"White and Seymour, 2003"

Arctogalidia,trivirgata,small-toothed palm civet,2.01,0.30319606,553,ml O2/h,66.36,1.82190638,o,land,yes,carnivora,"White and Seymour, 2003; Khaliq et al., 2015; Naya dataset; McNab 1995; Genoud 2017 dataset"

Artibeus,fimbriatus,fringed fruit-eating bat,0.0639,-1.1944991,78,ml O2/h,9.36,0.97127585,h,land,yes,chiroptera,"White and Seymour, 2003"

Artibeus,jamaicensis,jamaican fruit bat,0.0452,-1.3448616,59.9194,ml O2/h,7.19,0.8567487,h,land,yes,chiroptera,"White and Seymour, 2003; Khaliq et al., 2015; Naya dataset; McNab 1969, 1989; Genoud 2017 dataset"

Artibeus,lituratus,great fruit-eating bat,0.0701,-1.154282,87.9209,ml O2/h,10.55,1.02327337,h,land,yes,chiroptera,"White and Seymour, 2003; Khaliq et al., 2015; Naya dataset; McNab 1969, 1989; Genoud 2017 dataset"

Artibeus,concolor,brown fruit-eating bat,0.0197,-1.7055338,36.179104,ml O2/h,4.36,0.63950136,h,land,yes,chiroptera,"Khaliq et al. (2015); McNab 1969, 1989; Genoud 2017 dataset; White and Seymour, 2003"

Artibeus,hirsutus,hairy fruit-eating bat,0.0515,-1.2881928,121.5,ml O2/h,14.58,1.16375752,h,land,yes,chiroptera,Carpenter & Graham (1967)

Arvicola,amphibius,european water vole,0.097,-1.0132283,112.518,ml O2/h,13.5,1.13040325,h,land,yes,rodentia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; Drozdz et al., 1971"

Microtus,richardsoni,water vole,0.08,-1.09691,172.8,ml O2/h,20.736,1.31672498,h,land,yes,rodentia,Lovegrove (2003)

Aselliscus,tricuspidatus,temminck's trident bat,0.0042,-2.3767507,7.14,ml O2/h,0.8568,-0.0671205,c,land,yes,chiroptera,Bonaccorso & McNab (2003)

Atelerix,albiventris,four-toed hedgehog,0.45,-0.3467875,148.5,ml O2/h,17.82,1.2509077,o,land,yes,eulipotyphla,"White and Seymour, 2003; Khaliq et al., 2015; Naya dataset; McNab 1980; Genoud 2017"

Auliscomys,boliviensis,bolivian big-eared mouse,0.0768,-1.1146388,110.59,ml O2/h,13.2708,1.1228971,o,land,yes,rodentia,"Lovegrove (2003); Bozinovic & Rosenmann (1988a); Genoud 2017 dataset; White and Seymour, 2003"

Baiomys,taylori,northern pygmy mouse,0.007283,-2.1376897,14.5392,ml O2/h,1.74,0.24172176,o,land,yes,rodentia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; Hudson 1965; Genoud 2017 dataset"

Bassariscus,sumichrasti,cacomistle,1.28,0.10720997,634,ml O2/h,76.08,1.8812705,o,land,yes,carnivora,"White and Seymour, 2003; Chevalier 1985; Genoud 2017 dataset"

Bassariscus,astutus,ring-tailed cat,0.865,-0.0629839,371,ml O2/h,44.52,1.64855516,o,land,yes,carnivora,Chevalier (1985)

Bathyergus,janetta,namaqua dune mole rat,0.4002,-0.3977229,217.584,ml O2/h,26.11,1.4168082,h,land,yes,rodentia,"White and Seymour, 2003; Luna et al., 2017; Naya dataset; Lovegrove 1986; Genoud 2017 dataset"

Bathyergus,suillus,cape dune mole-rat,0.6936,-0.1588909,334.2,ml O2/h,40.1,1.60318769,h,land,yes,rodentia,"White and Seymour, 2003; Lovegrove 1986; Genoud 2017 dataset"

Bettongia,gaimardi,eastern/Tasmanian bettong,1.5425,0.18822517,641.04801,ml O2/h,76.93,1.8860718,o,land,yes,diprotodontia,"White and Seymour, 2003; Khaliq et al., 2015; Naya dataset"

Bettongia,penicillata,"woylie, brush-tailed bettong",1.018,0.00774778,561.4,ml O2/h,67.37,1.82845365,o,land,yes,diprotodontia,"White and Seymour, 2003"

Blarina,brevicauda,northern short tailed shrew,0.021,-1.6777807,53.9436,ml O2/h,6.47,0.81112117,o,land,yes,eulipotyphla,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; Platt 1974; Genoud 2017"

Blarina,carolinensis,southern short-tailed shrew,0.0102,-1.9913998,33.7,ml O2/h,4.04,0.60681115,o,land,yes,eulipotyphla,"White and Seymour, 2003; McNab 1991; Genoud 2017 dataset"

Bradypus,variegatus,brown-throated sloth,3.79,0.57863921,686,ml O2/h,82.32,1.91550536,h,land,yes,pilosa,"White and Seymour, 2003; McNab 1978; Genoud 2017 dataset"

Burramys,parvus,mountain pygmy possum,0.0443,-1.3535963,36.8,ml O2/h,4.42,0.64502906,o,land,yes,diprotodontia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset"

Cabassous,centralis,northern naked-tailed armadillo,3.914,0.59262082,830.2,ml O2/h,99.62,1.99836398,c,land,yes,cingulata,"White and Seymour, 2003; Khaliq et al., 2015; Naya dataset; McNab 1980; Genoud 2017"

Callimico,goeldii,goeldi's monkey,0.557,-0.2541448,278,ml O2/h,33.36,1.52322604,o,land,yes,primates,Kälin et al. (2003)

Callithrix,jacchus,common marmoset,0.314071,-0.5029722,20.43,kcal/day,20.43,1.31035977,o,land,yes,primates,"White and Seymour, 2003; Scholander et al., 1950; Petry et al., 1986; Genoud 2017 dataset"

Callospermophilus,lateralis,golden-mantled ground squirrel,0.259025,-0.5866583,150.765,ml O2/h,18.09,1.25748178,o,land,yes,rodentia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; Hudson et al., 1972; Genoud 2017 dataset"

Callospermophilus,saturatus,cascade golden-mantled ground squirrel,0.2522,-0.5982549,162.6,ml O2/h,19.51,1.29030179,h,land,yes,rodentia,"White and Seymour, 2003; Kenagy and Vleck 1982; Genoud 2017 dataset"

Calomys,musculinus,drylands vesper mouse,0.0169,-1.7721133,27.6,ml O2/h,3.31,0.52009033,o,land,yes,rodentia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; Bozinovic & Rosenmann (1988b); Genoud 2017 dataset"

Calomys,venustus,cordoba vesper mouse,0.049575,-1.3047373,71.2788,ml O2/h,8.55,0.93214163,o,land,yes,rodentia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; Caviedes-Vidal et al., 1990; Genoud 2017"

Calomys,callosus,large vesper mouse,0.048,-1.3187588,55.82,ml O2/h,6.6984,0.82597108,o,land,yes,rodentia,Lovegrove (2003)

Calomys,lepidus,andean vesper mouse,0.016,-1.79588,28.8,ml O2/h,3.456,0.53857373,o,land,yes,rodentia,Lovegrove (2003)

Caluromys,derbianus,derby's woolly opossum,0.35,-0.455932,208.8725,ml O2/h,25.06,1.39906251,o,land,yes,didelphimorphia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; McNab 1978; Genoud 2017 dataset"

Caluromys,philander,bare-tailed woolly opossum,0.17,-0.7695511,127.5,ml O2/h,15.3,1.18469143,o,land,yes,didelphimorphia,Ribeiro & Bicudo (2007)

Canis,latrans,coyote,10,1,2687,ml O2/h,322.44,2.50844891,o,land,yes,carnivora,"White and Seymour, 2003; Khaliq et al., 2015; Naya dataset; Golightly and Ohmart 1938; Genoud 2017 dataset"

Canis,lupus,gray wolf,33.7567,1.52835998,8282.21,ml O2/h,993.8652,2.99732748,c,land,yes,carnivora,Khaliq et al. (2015); Okarma and Koteja 1987; Genoud 2017 dataset

Canis,mesomelas,black-backed jackal,7.72,0.8876173,3778.52,ml O2/h,453.42,2.65650297,o,land,yes,carnivora,"White and Seymour, 2003; Khaliq et al., 2015; Naya dataset; Downs et al., 1991; Genoud 2017 dataset"

Cannomys,badius,lesser bamboo rat,0.344,-0.4634416,172,ml O2/h,20.64,1.31470969,h,land,yes,rodentia,"White and Seymour, 2003; Khaliq et al., 2015; Naya dataset"

Capreolus,capreolus,roe deer,21.5,1.33243846,8564.67,ml O2/h,1027.76,3.01189188,h,land,yes,artiodactyla,"White and Seymour, 2003; Weiner 1977; Genoud 2017 dataset"

Capromys,pilorides,desmarest's hutia,2.63,0.41995575,600.95,ml O2/h,72.11,1.85801959,o,land,yes,rodentia,"White and Seymour, 2003; McNab 1978; Genoud 2017 dataset"

Carollia,perspicillata,seba's short-tailed bat,0.0149,-1.8268137,32.2956,ml O2/h,3.88,0.5883246,c,land,yes,chiroptera,"White and Seymour, 2003; Khaliq et al., 2015; Naya dataset; McNab 1969, 1989; Genoud 2017 dataset"

Castor,canadensis,north american beaver,15.27,1.18383904,4688,ml O2/h,562.56,2.75016885,h,aquatic,yes,rodentia,MacArthur (1989)

Cavia,porcellus,domestic guinea pig,0.629,-0.2013494,346,ml O2/h,41.52,1.61825734,h,land,yes,rodentia,"White and Seymour, 2003"

Cebuella,pygmaea,pygmy marmoset,0.147829,-0.8302404,100.543,ml O2/h,12.07,1.08153309,o,land,yes,primates,"White and Seymour, 2003; Genoud et al., 1997; Genoud 2017 dataset"

Cercartetus,concinnus,western pygmy possum,0.0186,-1.7304871,22.3,ml O2/h,2.68,0.42748611,o,land,yes,diprotodontia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; Geiser 1987; Genoud 2017 dataset"

Cercartetus,lepidus,tasmanian pygmy possum,0.0126,-1.8996295,18.8,ml O2/h,2.26,0.3533391,o,land,yes,diprotodontia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; Geiser 1987; Genoud 2017 dataset"

Cercartetus,nanus,eastern pygmy possum,0.04244,-1.3722246,30.9022,ml O2/h,3.71,0.56917065,o,land,yes,diprotodontia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; Song et al., 1997; Genoud 2017 dataset"

Cercopithecus,mitis,blue monkey,8.5,0.92941893,3394.258,ml O2/h,407.31,2.6099261,o,land,yes,primates,"White and Seymour, 2003; Khaliq et al., 2015; Naya dataset; Muller et al., 1983; Genoud 2017 dataset"

Cerdocyon,thous,crab-eating fox/maikong/forest fox,5.444,0.73591812,1510.271,ml O2/h,181.23,2.25823613,c,land,yes,carnivora,"White and Seymour, 2003; Khaliq et al., 2015; Naya dataset; Hennemann et al., 1983; Genoud 2017 dataset"

Cervus,elaphus,red deer,58,1.76342799,16420,ml O2/h,1970.4,3.2945544,h,land,yes,artiodactyla,Brockway & Maloiy (1968)

Chaetodipus,baileyi,bailey's pocket mouse,0.0291,-1.536107,36.35,ml O2/h,4.35,0.63848926,o,land,yes,rodentia,"White and Seymour, 2003; Lovegrove (2003); from Naya dataset"

Chaetodipus,californicus,california pocket mouse,0.022,-1.6575773,21.3,ml O2/h,2.56,0.40756085,o,land,yes,rodentia,"White and Seymour, 2003; Lovegrove (2003); from Naya dataset"

Chaetodipus,fallax,san diego pocket mouse,0.0196,-1.7077439,28.325,ml O2/h,3.4,0.53147892,o,land,yes,rodentia,"White and Seymour, 2003; Lovegrove (2003); from Naya dataset"

Chaetodipus,formosus,long-tailed pocket mouse,0.0151,-1.8210231,18.42,ml O2/h,2.2104,0.34447087,h,land,yes,rodentia,Lovegrove (2003)

Chaetodipus,hispidus,hispid pocket mouse,0.03575,-1.4467239,47.645,ml O2/h,5.7184,0.7572453,o,land,yes,rodentia,"White and Seymour, 2003; Wang and Hudson 1970; Genoud 2017 dataset; Lovegrove (2003); from Naya dataset"

Chaetodipus,intermedius,rock pocket mouse,0.01655,-1.781202,20.545,ml O2/h,2.4654,0.39188739,h,land,yes,rodentia,"White and Seymour, 2003; Bradley et al., 1975; Genoud 2017 dataset; Lovegrove (2003); from Naya dataset"

Chaetodipus,penicillatus,desert pocket mouse,0.016,-1.79588,22.4,ml O2/h,2.69,0.42942926,o,land,yes,rodentia,"White and Seymour, 2003; Lovegrove (2003); from Naya dataset"

Chaetophractus,nationi,andean hairy armadillo,2.15,0.33243846,559,ml O2/h,67.08,1.82659305,o,land,yes,cingulata,"White and Seymour, 2003; Khaliq et al., 2015; Naya dataset; McNab 1980; Genoud 2017"

Chaetophractus,vellerosus,screaming hairy armadillo,1.11,0.04532298,307.3119,ml O2/h,36.88,1.56676062,o,land,yes,cingulata,"White and Seymour, 2003; Khaliq et al., 2015; Naya dataset; McNab 1980; Genoud 2017"

Chaetophractus,villosus,big hairy armadillo,4.54,0.65705585,808,ml O2/h,96.96,1.98659261,o,land,yes,cingulata,"White and Seymour, 2003; McNab 1980; Genoud 2017 dataset"

Chalinolobus,gouldii,gould's wattled bat,0.0175,-1.756962,25.0378,ml O2/h,3,0.47777741,c,land,yes,chiroptera,"White and Seymour, 2003; Khaliq et al., 2015; Naya dataset; Hosken and Withers 1997; Genoud 2017 dataset"

Cheirogaleus,medius,fat-tailed dwarf lemur,0.3,-0.5228787,168,ml O2/h,20.16,1.30449053,o,land,yes,primates,"White and Seymour, 2003; McCormick 1981; Genoud 2017 dataset"

Chelemys,macronyx,andean long-clawed mouse,0.062,-1.2076083,84.3,ml O2/h,10.12,1.00500882,o,land,yes,rodentia,"White and Seymour, 2003; Contreras 1983; Genoud 2017 dataset"

Chinchilla,lanigera,long-tailed chinchilla,0.426,-0.3705904,220.68,ml O2/h,26.48,1.42294422,o,land,yes,rodentia,"White and Seymour, 2003; Arends and McNab 2001; Genoud 2017 dataset"

Chinchilla,chinchilla,short-tailed chinchilla,0.4544,-0.3425617,226.3,ml O2/h,27.156,1.4338658,o,land,yes,rodentia,Cortés et al. (2003)

Chionomys,nivalis,european snow vole,0.0328,-1.4841262,81,ml O2/h,9.72,0.98766626,h,land,yes,rodentia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset"

Chiroderma,doriae,brazilian big-eyed bat,0.0199,-1.7011469,31.1,ml O2/h,3.73,0.57194164,h,land,yes,chiroptera,"White and Seymour, 2003"

Chironectes,minimus,water opossum,0.92876667,-0.0320934,411.946667,ml O2/h,49.43,1.69402224,o,land,yes,didelphimorphia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; Thompson 1988; Genoud 2017 dataset"

Choeroniscus,godmani,godman's long-tailed bat,0.0101,-1.9956786,19.1,ml O2/h,2.292,0.36021461,o,land,yes,chiroptera,Arends et al. (1995)

Choloepus,hoffmanni,two-toed sloth,4.058,0.60831204,86.2,kcal/day,86.2,1.93550727,h,land,yes,pilosa,"White and Seymour, 2003; Scholander et al., 1950; McNab 1978; Genoud 2017 dataset"

Chrotopterus,auritus,big-eared woolly bat,0.0961,-1.0172766,101.645,ml O2/h,12.2,1.08626727,o,land,yes,chiroptera,"White and Seymour, 2003; Khaliq et al., 2015; Naya dataset; McNab 1969, 1989; Genoud 2017 dataset"

Chrysochloris,asiatica,cape golden mole,0.044,-1.3565473,51.5,ml O2/h,6.18,0.79098848,c,land,yes,afrosoricida,"White and Seymour, 2003; Bennett and Spinks 1995; Genoud 2017"

Coendou,prehensilis,brazilian porcupine,3.28,0.51587384,921.7,ml O2/h,110.21,2.04221312,h,land,yes,rodentia,"White and Seymour, 2003; McNab 1978; Genoud 2017 dataset"

Colobus,guereza,mantled guereza,10.48625,1.02062021,2981.888,ml O2/h,357.83,2.55367257,h,land,yes,primates,"White and Seymour, 2003; Khaliq et al., 2015; Naya dataset; Muller et al., 1983; Genoud 2017 dataset"

Condylura,cristata,star-nosed mole,0.049,-1.3098039,110.3,ml O2/h,13.24,1.12175676,c,land,yes,eulipotyphla,"White and Seymour, 2003; Khaliq et al., 2015; Naya dataset; Campbell et al., 1999; Genoud 2017 dataset"

Conilurus,penicillatus,brush-tailed rabbit-rat,0.2132,-0.6712128,162.7,ml O2/h,19.52,1.2905688,o,land,yes,rodentia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; Hinds et al., 1993; Genoud 2017 dataset"

Connochaetes,taurinus,blue wildebeest,196.5,2.29336255,41242,ml O2/h,4949.04,3.69452096,h,land,yes,artiodactyla,"White and Seymour, 2003"

Cricetomys,gambianus,gambian pouched rat,1.87,0.27184161,1140.7,ml O2/h,136.88,2.13635269,o,land,yes,rodentia,"White and Seymour, 2003"

Cricetulus,migratorius,grey dwarf hamster,0.0307,-1.5128616,45.4771429,ml O2/h,5.46,0.73697442,o,land,yes,rodentia,"White and Seymour, 2003; Haim and Martinez 1992; Genoud 2017 dataset"

Cricetulus,barabensis,chinese striped-hamster,0.0373,-1.4282912,52.97,ml O2/h,6.3564,0.80321122,o,land,yes,rodentia,Trojan (1977)

